bin_center,OFF_1day
112.63333333333335,136.78263455248293
117.9,104.66845078798693
123.16666666666669,112.9943502824859
128.43333333333334,67.79661016949153
133.7,51.14481118049361
138.96666666666667,51.14481118049361
144.23333333333335,54.71305382099317
149.5,33.30359797799584
154.76666666666665,27.356526910496584
160.03333333333333,28.545941123996435
165.3,14.272970561998218
170.56666666666666,17.841213202497773
175.83333333333331,13.083556348498366
181.1,14.272970561998218
186.36666666666667,7.136485280999109
1776.6666666666667,14.272970561998218
1930.0,54.71305382099317
2083.3333333333335,92.77430865298841
2236.6666666666665,103.47903657448708
2390.0,128.45673505798396
2543.3333333333335,93.96372286648827
2696.6666666666665,60.660124888492426
2850.0,53.523639607493315
3003.3333333333335,42.81891168599466
3156.6666666666665,19.030627415997625
3310.0,27.356526910496584
3463.3333333333335,19.030627415997625
3616.6666666666665,14.272970561998218
3770.0,8.32589949449896
3923.3333333333335,2.378828426999703
653.3333333333334,89.20606601248886
1960.0,71.36485280999109
3266.666666666667,72.55426702349094
4573.333333333333,72.55426702349094
5880.0,68.98602438299139
7186.666666666667,64.22836752899198
8493.333333333334,42.81891168599466
9800.000000000002,46.387154326494205
11106.666666666668,39.2506690454951
12413.333333333334,36.8718406184954
13720.000000000002,35.682426404995546
15026.666666666668,29.735355337496287
16333.333333333334,28.545941123996435
17640.0,22.598870056497177
18946.666666666668,14.272970561998218
